ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;E_A;E_AM;E_AW;E_A00_01;E_A01_02;E_A02_03;E_A03_05;E_A05_06;E_A06_07;E_A07_08;E_A08_10;E_A10_12;E_A12_14;E_A14_15;E_A15_18;E_A18_21;E_A21_25;E_A25_27;E_A27_30;E_A30_35;E_A35_40;E_A40_45;E_A45_50;E_A50_55;E_A55_60;E_A60_63;E_A63_65;E_A65_67;E_A67_70;E_A70_75;E_A75_80;E_A80_85;E_A85_90;E_A90_95;E_A95_110;E_AU1;E_A1U6;E_A6U15;E_A15U18;E_A18U25;E_A25U55;E_A55U65;E_A65U80;E_A80U110
201812;01011101;01;01;11;01;1;1417;754;663;3;6;11;16;13;12;7;9;7;0;6;6;40;169;135;166;208;136;118;84;52;52;42;18;15;24;23;21;9;6;3;0;3;46;41;6;209;899;112;83;18
201812;01011102;01;01;11;02;1;67;46;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10;15;3;6;12;6;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;64;0;3;0
201812;01011103;01;01;11;03;1;1751;925;826;3;9;3;3;6;3;4;16;19;15;12;39;46;146;80;157;193;211;142;106;118;101;62;45;32;24;57;37;38;15;9;0;3;21;69;39;192;1007;208;150;62
201812;01011104;01;01;11;04;1;1901;1067;834;10;16;6;19;4;14;12;18;10;18;3;18;61;237;161;206;296;203;133;118;102;101;27;13;6;21;24;6;13;15;7;3;10;45;75;18;298;1219;141;57;38
201812;01011105;01;01;11;05;1;654;357;297;7;7;3;12;0;9;6;12;12;3;3;6;9;35;23;46;109;66;69;73;49;27;20;3;12;15;6;6;0;3;3;0;7;22;45;6;44;435;50;39;6
201812;01011201;01;01;12;01;1;986;550;436;3;6;9;13;6;3;6;12;17;3;3;18;25;88;63;87;150;90;80;76;46;54;27;15;15;16;24;16;6;6;3;0;3;34;44;18;113;592;96;71;15
201812;01011202;01;01;12;02;1;231;112;119;0;0;6;0;3;0;0;0;6;3;0;9;6;3;9;24;34;37;30;25;9;6;6;3;3;3;3;0;0;3;0;0;0;9;9;9;9;168;15;9;3
201812;01011203;01;01;12;03;1;408;222;186;0;7;0;6;0;3;0;7;0;6;0;0;3;13;21;37;58;48;44;44;36;27;12;6;3;6;9;6;6;0;0;0;0;13;16;0;16;288;45;24;6
201812;01011204;01;01;12;04;1;2757;1383;1374;31;18;27;47;27;24;22;34;21;34;12;41;66;161;117;299;507;337;218;208;153;126;51;37;21;30;43;30;6;6;3;0;31;119;147;41;227;1839;214;124;15
201812;01011301;01;01;13;01;1;2113;1108;1005;15;16;12;30;9;10;7;21;3;21;6;12;22;121;115;254;472;321;208;144;109;75;27;12;25;16;18;6;6;0;0;0;15;67;68;12;143;1623;114;65;6
