"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"E_A";"E_AM";"E_AW";"E_A00_01";"E_A01_02";"E_A02_03";"E_A03_05";"E_A05_06";"E_A06_07";"E_A07_08";"E_A08_10";"E_A10_12";"E_A12_14";"E_A14_15";"E_A15_18";"E_A18_21";"E_A21_25";"E_A25_27";"E_A27_30";"E_A30_35";"E_A35_40";"E_A40_45";"E_A45_50";"E_A50_55";"E_A55_60";"E_A60_63";"E_A63_65";"E_A65_67";"E_A67_70";"E_A70_75";"E_A75_80";"E_A80_85";"E_A85_90";"E_A90_95";"E_A95_110";"E_AU1";"E_A1U6";"E_A6U15";"E_A15U18";"E_A18U25";"E_A25U55";"E_A55U65";"E_A65U80";"E_A80U110"
"202512";"01100101";"01";"10";"01";"01";1482;789;693;3;3;6;6;3;3;3;7;14;10;6;12;40;145;105;154;242;170;107;108;101;48;38;15;24;36;13;26;9;21;0;4;3;18;43;12;185;987;101;99;34
"202512";"01100102";"01";"10";"01";"02";1102;583;519;3;15;0;10;10;0;4;10;16;12;7;13;16;68;25;78;170;161;120;75;68;72;38;9;24;23;35;7;10;3;0;0;3;35;49;13;84;697;119;89;13
"202512";"01100103";"01";"10";"01";"03";2146;1108;1038;12;3;0;18;3;12;13;22;10;10;9;27;36;116;103;199;326;282;207;147;130;112;55;51;35;38;65;46;19;27;9;4;12;24;76;27;152;1394;218;184;59
"202512";"01100104";"01";"10";"01";"04";2030;1050;980;6;16;12;36;18;15;12;22;22;15;16;29;46;161;104;202;298;267;165;151;108;74;67;42;32;19;18;18;18;12;6;3;6;82;102;29;207;1295;183;87;39
"202512";"01100205";"01";"10";"02";"05";1500;824;676;7;10;0;16;6;14;6;19;20;21;6;25;39;98;83;165;270;187;144;67;67;65;31;15;24;15;32;15;18;12;3;0;7;32;86;25;137;983;111;86;33
"202512";"01100206";"01";"10";"02";"06";635;324;311;3;4;3;6;3;0;7;3;0;7;6;3;17;34;21;41;90;85;81;65;51;39;6;18;9;12;3;9;6;0;0;3;3;16;23;3;51;434;63;33;9
"202512";"01100207";"01";"10";"02";"07";3173;1579;1594;14;15;13;30;26;30;16;45;40;33;21;33;83;189;125;234;514;487;326;215;178;155;65;41;43;60;55;44;24;13;3;3;14;84;185;33;272;2079;261;202;43
"202512";"01100308";"01";"10";"03";"08";2443;1230;1213;6;9;22;23;13;3;19;12;18;31;3;22;52;161;131;221;444;435;256;180;124;84;36;31;21;10;40;24;9;3;0;0;6;67;86;22;213;1791;151;95;12
"202512";"01100309";"01";"10";"03";"09";3583;1791;1792;7;23;16;43;16;15;15;41;26;23;18;48;60;167;151;283;611;574;439;326;233;181;70;52;22;25;49;34;6;3;3;3;7;98;138;48;227;2617;303;130;15
"202512";"01100310";"01";"10";"03";"10";3842;2031;1811;9;9;21;41;22;32;24;39;38;33;9;46;114;203;199;366;704;584;435;228;194;155;99;45;34;64;56;30;0;3;6;0;9;93;175;46;317;2710;299;184;9
"202512";"01100311";"01";"10";"03";"11";3497;1734;1763;15;18;27;54;18;16;23;41;40;46;15;74;102;411;235;290;512;447;293;227;161;141;65;39;39;42;52;19;11;17;4;3;15;117;181;74;513;2165;245;152;35
"202512";"01100312";"01";"10";"03";"12";3622;1927;1695;19;26;21;49;17;24;27;40;42;33;23;29;75;196;148;279;607;591;417;233;221;187;66;41;27;43;60;45;33;3;0;0;19;113;189;29;271;2496;294;175;36
"202512";"01100313";"01";"10";"03";"13";4187;2130;2057;12;12;18;36;15;16;12;33;30;18;9;32;223;551;297;527;636;531;355;271;140;129;75;37;30;38;43;26;22;9;4;0;12;81;118;32;774;2757;241;137;35
"202512";"01100414";"01";"10";"04";"14";2306;1173;1133;6;31;36;42;28;22;25;49;45;42;19;39;67;91;98;153;464;443;270;124;87;53;12;12;10;16;16;3;3;0;0;0;6;137;202;39;158;1639;77;45;3
"202512";"01100415";"01";"10";"04";"15";4122;2059;2063;16;18;16;41;26;22;18;50;33;49;27;66;124;260;184;347;706;667;447;338;240;177;60;34;21;52;30;38;6;9;0;0;16;101;199;66;384;2929;271;141;15
"202512";"01100416";"01";"10";"04";"16";3911;1925;1986;22;9;29;34;12;19;14;46;37;21;12;48;60;185;140;372;648;684;504;350;254;161;69;33;24;33;47;27;7;6;4;0;22;84;149;48;245;2952;263;131;17
"202512";"01200517";"01";"20";"05";"17";1811;1060;751;0;12;9;21;10;16;15;9;20;26;14;55;70;158;108;167;295;205;150;92;79;73;50;27;10;21;37;27;20;12;3;0;0;52;100;55;228;1096;150;95;35
"202512";"01200518";"01";"20";"05";"18";3334;1852;1482;7;6;23;31;16;16;15;26;27;31;18;41;141;336;201;312;504;360;245;200;190;184;88;55;53;40;66;51;31;10;7;3;7;76;133;41;477;2012;327;210;51
"202512";"01200519";"01";"20";"05";"19";3797;2106;1691;13;12;20;31;3;6;17;44;28;38;29;54;114;221;183;346;558;486;334;280;235;184;93;76;31;82;90;87;64;35;0;3;13;66;162;54;335;2422;353;290;102
