"ZEIT";"RAUMID";"BEZ";"PGR";"BZR";"PLR";"STADTRAUM";"EINW10";"EINW5";"DAU10";"DAU5";"PDAU10";"PDAU5"
"2008";"01011101";"01";"01";"11";"01";"1";3043;3091;996;1658;32,73;53,63
"2008";"01011102";"01";"01";"11";"02";"1";176;182;79;114;44,88;62,63
"2008";"01011103";"01";"01";"11";"03";"1";4355;4530;1600;2557;36,73;56,44
"2008";"01011104";"01";"01";"11";"04";"1";3338;3535;1040;1786;31,15;50,52
"2008";"01011105";"01";"01";"11";"05";"1";824;848;87;262;10,55;30,89
"2008";"01011201";"01";"01";"12";"01";"1";1963;2045;748;1282;38,10;62,68
"2008";"01011202";"01";"01";"12";"02";"1";417;434;153;219;36,69;50,46
"2008";"01011203";"01";"01";"12";"03";"1";888;916;410;573;46,17;62,55
"2008";"01011204";"01";"01";"12";"04";"1";5368;5486;2190;3309;40,79;60,31
"2008";"01011301";"01";"01";"13";"01";"1";4240;4351;870;1692;20,51;38,88
"2008";"01011302";"01";"01";"13";"02";"1";10626;11143;2758;5211;25,95;46,76
"2008";"01011303";"01";"01";"13";"03";"1";7558;7715;2924;4199;38,68;54,42
"2008";"01011304";"01";"01";"13";"04";"1";7726;7982;3761;5036;48,67;63,09
"2008";"01011305";"01";"01";"13";"05";"1";5757;5894;2891;3791;50,21;64,31
"2008";"01011306";"01";"01";"13";"06";"1";6868;7068;2422;4031;35,26;57,03
"2008";"01011401";"01";"01";"14";"01";"1";11768;12218;2371;4927;20,14;40,32
"2008";"01011402";"01";"01";"14";"02";"1";9892;10259;1963;4161;19,84;40,55
"2008";"01022101";"01";"02";"21";"01";"1";2667;2753;649;1142;24,33;41,48
"2008";"01022102";"01";"02";"21";"02";"1";4933;5181;1335;2389;27,06;46,11
"2008";"01022103";"01";"02";"21";"03";"1";137;149;37;58;27,00;38,92
"2008";"01022104";"01";"02";"21";"04";"1";14987;15607;4821;7750;32,16;49,65
"2008";"01022105";"01";"02";"21";"05";"1";3946;4186;1202;2008;30,46;47,96
"2008";"01022106";"01";"02";"21";"06";"1";9825;10223;3985;5913;40,55;57,84
"2008";"01022201";"01";"02";"22";"01";"1";8780;9202;2621;4513;29,85;49,04
"2008";"01022202";"01";"02";"22";"02";"1";1256;1345;448;804;35,66;59,77
"2008";"01022203";"01";"02";"22";"03";"1";5623;5931;1915;3155;34,05;53,19
"2008";"01022204";"01";"02";"22";"04";"1";5110;5305;1911;2979;37,39;56,15
"2008";"01022205";"01";"02";"22";"05";"1";2672;2838;956;1550;35,77;54,61
"2008";"01022206";"01";"02";"22";"06";"1";2680;2801;764;1432;28,50;51,12
"2008";"01022207";"01";"02";"22";"07";"1";5452;5612;2061;3167;37,80;56,43
"2008";"01033101";"01";"03";"31";"01";"1";19854;21042;5951;10205;29,97;48,49
"2008";"01033102";"01";"03";"31";"02";"1";9389;9918;2937;4878;31,28;49,18
"2008";"01033201";"01";"03";"32";"01";"1";10555;11386;3683;6152;34,89;54,03
"2008";"01033202";"01";"03";"32";"02";"1";8349;8766;3196;5081;38,28;57,96
"2008";"01033203";"01";"03";"32";"03";"1";11054;11793;3465;5979;31,34;50,69
"2008";"01044101";"01";"04";"41";"01";"1";16511;17184;5954;9315;36,06;54,20
"2008";"01044102";"01";"04";"41";"02";"1";13689;14121;5664;8284;41,37;58,66
"2008";"01044103";"01";"04";"41";"03";"1";6727;7009;1973;3367;29,32;48,03
"2008";"01044201";"01";"04";"42";"01";"1";17724;18965;5398;9451;30,45;49,83
"2008";"01044202";"01";"04";"42";"02";"1";13473;14087;3437;6112;25,51;43,38
"2008";"01044203";"01";"04";"42";"03";"1";13045;13671;3941;6670;30,21;48,78
"2008";"02010101";"02";"01";"01";"01";"1";5598;5972;1724;3086;30,79;51,67
"2008";"02010102";"02";"01";"01";"02";"1";11066;11932;3893;6560;35,17;54,97
"2008";"02010103";"02";"01";"01";"03";"1";12910;13727;4935;8069;38,22;58,78
"2008";"02010104";"02";"01";"01";"04";"1";4322;4664;1698;2801;39,28;60,05
"2008";"02020201";"02";"02";"02";"01";"1";268;277;65;111;24,25;40,07
"2008";"02020202";"02";"02";"02";"02";"1";5119;5357;1789;2821;34,94;52,66
"2008";"02020203";"02";"02";"02";"03";"1";8969;9331;3198;4971;35,65;53,27
"2008";"02020204";"02";"02";"02";"04";"1";11009;11472;3674;5990;33,37;52,21
"2008";"02020205";"02";"02";"02";"05";"1";13370;14043;4840;7744;36,20;55,14
"2008";"02020206";"02";"02";"02";"06";"1";16379;17174;5410;9145;33,03;53,24
"2008";"02030301";"02";"03";"03";"01";"1";8373;8839;2960;4968;35,35;56,20
"2008";"02030302";"02";"03";"03";"02";"1";11813;12420;4022;6746;34,04;54,31
"2008";"02030401";"02";"03";"04";"01";"1";13597;14158;4451;7388;32,73;52,18
"2008";"02030402";"02";"03";"04";"02";"1";10423;10859;3510;5753;33,67;52,97
"2008";"02040501";"02";"04";"05";"01";"1";5147;5307;2847;3649;55,31;68,75
"2008";"02040502";"02";"04";"05";"02";"1";6046;6234;2400;3605;39,69;57,82
"2008";"02040503";"02";"04";"05";"03";"1";8670;8923;2388;4140;27,54;46,39
"2008";"02040701";"02";"04";"07";"01";"1";11018;11351;4496;6518;40,80;57,42
"2008";"02040702";"02";"04";"07";"02";"1";9303;9559;2862;4669;30,76;48,84
"2008";"02040703";"02";"04";"07";"03";"1";451;494;61;138;13,52;27,93
"2008";"02050601";"02";"05";"06";"01";"1";7562;7765;1491;2913;19,71;37,51
"2008";"02050602";"02";"05";"06";"02";"1";16344;17020;2797;6597;17,11;38,76
"2008";"02050801";"02";"05";"08";"01";"1";15881;16430;2750;5987;17,31;36,43
"2008";"02050802";"02";"05";"08";"02";"1";17054;17528;2794;6011;16,38;34,29
"2008";"02050803";"02";"05";"08";"03";"1";5716;5878;1354;2449;23,68;41,66
"2008";"02050804";"02";"05";"08";"04";"1";2133;2289;271;962;12,70;42,02
"2008";"03010101";"03";"01";"01";"01";"2";2626;2728;1046;1716;39,83;62,90
"2008";"03010102";"03";"01";"01";"02";"2";9606;10028;4038;5990;42,03;59,73
"2008";"03010104";"03";"01";"01";"04";"2";169;178;52;92;30,76;51,68
"2008";"03020203";"03";"02";"02";"03";"2";1783;1863;709;1054;39,76;56,57
"2008";"03020209";"03";"02";"02";"09";"2";11250;11863;3426;6483;30,45;54,64
"2008";"03020210";"03";"02";"02";"10";"2";8557;9039;2172;4820;25,38;53,32
"2008";"03020307";"03";"02";"03";"07";"2";14678;15568;3832;8839;26,10;56,77
"2008";"03030405";"03";"03";"04";"05";"2";9163;9721;2562;4784;27,96;49,21
"2008";"03030406";"03";"03";"04";"06";"2";7528;7921;3717;5672;49,37;71,60
"2008";"03030711";"03";"03";"07";"11";"2";6044;6288;2960;4762;48,97;75,73
"2008";"03030715";"03";"03";"07";"15";"2";6094;6350;2193;4363;35,98;68,70
"2008";"03030716";"03";"03";"07";"16";"2";1102;1137;791;962;71,77;84,60
"2008";"03040508";"03";"04";"05";"08";"2";3903;4158;1368;2483;35,04;59,71
"2008";"03040512";"03";"04";"05";"12";"2";8309;8747;3162;5486;38,05;62,71
"2008";"03040513";"03";"04";"05";"13";"2";2709;2881;995;1785;36,72;61,95
"2008";"03040614";"03";"04";"06";"14";"2";27833;29333;9498;16363;34,12;55,78
"2008";"03040818";"03";"04";"08";"18";"2";28911;29995;10214;17047;35,32;56,83
"2008";"03050919";"03";"05";"09";"19";"2";4553;4704;1789;2751;39,29;58,48
"2008";"03050920";"03";"05";"09";"20";"2";5327;5527;1920;3088;36,04;55,87
"2008";"03050923";"03";"05";"09";"23";"2";7093;7341;1529;3194;21,55;43,50
"2008";"03050924";"03";"05";"09";"24";"2";4650;4853;1081;2099;23,24;43,25
"2008";"03050925";"03";"05";"09";"25";"2";6944;7351;2160;3821;31,10;51,97
"2008";"03051017";"03";"05";"10";"17";"2";3528;3652;1133;1913;32,11;52,38
"2008";"03051021";"03";"05";"10";"21";"2";5919;6077;2647;3724;44,72;61,28
"2008";"03051022";"03";"05";"10";"22";"2";4143;4306;1738;2669;41,95;61,98
"2008";"03061126";"03";"06";"11";"26";"1";12479;12892;3166;5763;25,37;44,70
"2008";"03061131";"03";"06";"11";"31";"1";8775;9043;2048;3921;23,33;43,35
"2008";"03061227";"03";"06";"12";"27";"1";12416;12789;3696;6210;29,76;48,55
"2008";"03061228";"03";"06";"12";"28";"1";11051;11306;3136;5393;28,37;47,70
"2008";"03061332";"03";"06";"13";"32";"1";18460;19296;3363;8099;18,21;41,97
"2008";"03061429";"03";"06";"14";"29";"1";9650;9883;5335;7030;55,28;71,13
"2008";"03061430";"03";"06";"14";"30";"1";2679;2768;1423;1956;53,11;70,66
"2008";"03061434";"03";"06";"14";"34";"1";4545;4700;1250;2225;27,50;47,34
"2008";"03061435";"03";"06";"14";"35";"1";3540;3671;1041;1803;29,40;49,11
"2008";"03061441";"03";"06";"14";"41";"1";478;517;0;292;0,00;56,47
"2008";"03071536";"03";"07";"15";"36";"1";8735;9089;1830;4040;20,95;44,44
"2008";"03071537";"03";"07";"15";"37";"1";12314;12932;3193;6234;25,92;48,20
"2008";"03071633";"03";"07";"16";"33";"1";2341;2443;1065;1619;45,49;66,27
"2008";"03071638";"03";"07";"16";"38";"1";13849;14478;3603;6618;26,01;45,71
"2008";"03071639";"03";"07";"16";"39";"1";10302;10809;2648;5019;25,70;46,43
"2008";"04010101";"04";"01";"01";"01";"2";9023;9337;3997;5791;44,29;62,02
"2008";"04010102";"04";"01";"01";"02";"2";685;695;439;511;64,08;73,52
"2008";"04010103";"04";"01";"01";"03";"2";6448;6731;3159;4464;48,99;66,32
"2008";"04020204";"04";"02";"02";"04";"2";117;125;44;76;37,60;60,80
"2008";"04020205";"04";"02";"02";"05";"2";1166;1221;677;891;58,06;72,97
"2008";"04020206";"04";"02";"02";"06";"2";2514;2549;1011;1347;40,21;52,84
"2008";"04020207";"04";"02";"02";"07";"2";2295;2398;990;1463;43,13;61,00
"2008";"04020208";"04";"02";"02";"08";"2";2446;2610;1189;1678;48,60;64,29
"2008";"04020209";"04";"02";"02";"09";"2";2863;3025;1413;1969;49,35;65,09
"2008";"04020310";"04";"02";"03";"10";"2";633;651;221;328;34,91;50,38
"2008";"04020311";"04";"02";"03";"11";"2";12746;13240;6094;8678;47,81;65,54
"2008";"04020312";"04";"02";"03";"12";"2";4449;4601;2006;2859;45,08;62,13
"2008";"04020313";"04";"02";"03";"13";"2";6095;6266;2695;3896;44,21;62,17
"2008";"04020314";"04";"02";"03";"14";"2";10;10;10;10;100,00;100,00
"2008";"04030415";"04";"03";"04";"15";"1";2389;2442;613;1063;25,65;43,52
"2008";"04030416";"04";"03";"04";"16";"1";8915;9368;3587;5568;40,23;59,43
"2008";"04030417";"04";"03";"04";"17";"1";9273;9626;3642;5574;39,27;57,90
"2008";"04030518";"04";"03";"05";"18";"1";8348;8617;3231;5059;38,70;58,70
"2008";"04030519";"04";"03";"05";"19";"1";4690;4836;1713;2498;36,52;51,65
"2008";"04030620";"04";"03";"06";"20";"1";7711;7975;3068;4733;39,78;59,34
"2008";"04030621";"04";"03";"06";"21";"1";2515;2634;773;1361;30,73;51,67
"2008";"04030622";"04";"03";"06";"22";"1";9106;9439;3657;5434;40,16;57,56
"2008";"04030623";"04";"03";"06";"23";"1";3915;4043;1449;2313;37,01;57,20
"2008";"04030724";"04";"03";"07";"24";"1";5803;6015;2564;3807;44,18;63,29
"2008";"04030725";"04";"03";"07";"25";"1";10395;10818;4310;6400;41,46;59,16
"2008";"04030726";"04";"03";"07";"26";"1";4822;4994;1965;2975;40,75;59,57
"2008";"04030827";"04";"03";"08";"27";"1";9981;10332;3722;5699;37,29;55,15
"2008";"04030828";"04";"03";"08";"28";"1";8624;8870;3616;5268;41,92;59,39
"2008";"04030929";"04";"03";"09";"29";"1";5512;5694;2248;3308;40,78;58,09
"2008";"04030930";"04";"03";"09";"30";"1";4960;5127;2335;3308;47,07;64,52
"2008";"04030931";"04";"03";"09";"31";"1";3214;3287;1320;1954;41,07;59,44
"2008";"04031032";"04";"03";"10";"32";"1";13048;13477;5520;8318;42,30;61,71
"2008";"04041133";"04";"04";"11";"33";"2";56;57;38;49;67,85;85,96
"2008";"04041134";"04";"04";"11";"34";"2";4396;4537;1949;2703;44,33;59,57
"2008";"04041135";"04";"04";"11";"35";"2";2545;2653;1255;1724;49,31;64,98
"2008";"04041136";"04";"04";"11";"36";"2";2706;2801;1228;1766;45,38;63,04
"2008";"04041137";"04";"04";"11";"37";"2";7105;7338;3257;4805;45,84;65,48
"2008";"04041238";"04";"04";"12";"38";"2";4750;4958;2257;3221;47,51;64,96
"2008";"04041239";"04";"04";"12";"39";"2";110;112;38;57;34,54;50,89
"2008";"04041240";"04";"04";"12";"40";"2";1376;1448;680;967;49,41;66,78
"2008";"04041241";"04";"04";"12";"41";"2";5850;6083;2801;3952;47,88;64,96
"2008";"04041342";"04";"04";"13";"42";"2";3852;3932;1619;2473;42,03;62,89
"2008";"04041343";"04";"04";"13";"43";"2";3223;3351;1578;2299;48,96;68,60
"2008";"04041344";"04";"04";"13";"44";"2";9731;10190;4306;6385;44,25;62,65
"2008";"04051445";"04";"05";"14";"45";"1";5193;5370;2138;3241;41,17;60,35
"2008";"04051446";"04";"05";"14";"46";"1";9190;9471;3930;5798;42,76;61,21
"2008";"04051447";"04";"05";"14";"47";"1";4544;4693;1746;2766;38,42;58,93
"2008";"04051448";"04";"05";"14";"48";"1";8096;8291;3588;5109;44,31;61,62
"2008";"04051549";"04";"05";"15";"49";"1";3657;3792;1589;2289;43,45;60,36
"2008";"04051550";"04";"05";"15";"50";"1";4742;4923;1890;2890;39,85;58,70
"2008";"04051551";"04";"05";"15";"51";"1";3771;3924;1544;2340;40,94;59,63
"2008";"04051652";"04";"05";"16";"52";"1";8546;8860;3733;5422;43,68;61,19
"2008";"04051653";"04";"05";"16";"53";"1";5923;6106;2573;3808;43,44;62,36
"2008";"04051654";"04";"05";"16";"54";"1";2697;2763;1078;1682;39,97;60,87
"2008";"04051655";"04";"05";"16";"55";"1";5823;6065;2317;3573;39,79;58,91
