ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;EINW10;EINW5;DAU10;DAU5;PDAU10;PDAU5
2015;01011101;01;01;11;01;1;2913;2981;1084;1557;37,2;52,2
2015;01011102;01;01;11;02;1;187;193;82;106;43,9;54,9
2015;01011103;01;01;11;03;1;5015;5255;1718;2691;34,3;51,2
2015;01011104;01;01;11;04;1;4095;4317;1115;1986;27,2;46,0
2015;01011105;01;01;11;05;1;1010;1044;162;411;16,0;39,4
2015;01011201;01;01;12;01;1;1903;1963;864;1334;45,4;68,0
2015;01011202;01;01;12;02;1;495;519;134;247;27,1;47,6
2015;01011203;01;01;12;03;1;891;920;291;445;32,7;48,4
2015;01011204;01;01;12;04;1;6331;6518;2329;3494;36,8;53,6
2015;01011301;01;01;13;01;1;5564;5803;1143;2344;20,5;40,4
2015;01011302;01;01;13;02;1;11116;11702;3825;6710;34,4;57,3
2015;01011303;01;01;13;03;1;8288;8534;2896;4702;34,9;55,1
2015;01011304;01;01;13;04;1;7888;8153;3746;5671;47,5;69,6
2015;01011305;01;01;13;05;1;6783;6976;2828;4065;41,7;58,3
2015;01011306;01;01;13;06;1;8151;8411;3083;4640;37,8;55,2
2015;01011401;01;01;14;01;1;13985;14791;3566;7131;25,5;48,2
2015;01011402;01;01;14;02;1;11423;12132;2753;5871;24,1;48,4
2015;01022101;01;02;21;01;1;3178;3282;835;1613;26,3;49,1
2015;01022102;01;02;21;02;1;5803;6021;1651;3052;28,5;50,7
2015;01022103;01;02;21;03;1;206;232;43;100;20,9;43,1
2015;01022104;01;02;21;04;1;16580;17245;5458;9604;32,9;55,7
2015;01022105;01;02;21;05;1;4803;5019;1584;2760;33,0;55,0
2015;01022106;01;02;21;06;1;10589;11036;4317;6717;40,8;60,9
2015;01022201;01;02;22;01;1;9818;10195;3071;5441;31,3;53,4
2015;01022202;01;02;22;02;1;1290;1390;572;919;44,3;66,1
2015;01022203;01;02;22;03;1;6139;6508;2227;3878;36,3;59,6
2015;01022204;01;02;22;04;1;5417;5632;2151;3400;39,7;60,4
2015;01022205;01;02;22;05;1;2868;3041;1064;1815;37,1;59,7
2015;01022206;01;02;22;06;1;2770;2897;1015;1810;36,6;62,5
2015;01022207;01;02;22;07;1;5342;5483;2126;3232;39,8;58,9
2015;01033101;01;03;31;01;1;23402;24872;6801;13043;29,1;52,4
2015;01033102;01;03;31;02;1;10390;10952;3308;6219;31,8;56,8
2015;01033201;01;03;32;01;1;11253;12130;4561;8260;40,5;68,1
2015;01033202;01;03;32;02;1;8692;9221;3687;6174;42,4;67,0
2015;01033203;01;03;32;03;1;12556;13270;4163;7403;33,2;55,8
2015;01044101;01;04;41;01;1;18605;19375;6698;11430;36,0;59,0
2015;01044102;01;04;41;02;1;14704;15236;5463;9001;37,2;59,1
2015;01044103;01;04;41;03;1;7489;7758;2282;4087;30,5;52,7
2015;01044201;01;04;42;01;1;20937;22193;6341;11960;30,3;53,9
2015;01044202;01;04;42;02;1;15283;15890;4006;7773;26,2;48,9
2015;01044203;01;04;42;03;1;14720;15363;4323;8155;29,4;53,1
2015;02010101;02;01;01;01;1;5545;5837;1879;3222;33,9;55,2
2015;02010102;02;01;01;02;1;11825;12624;4418;7908;37,4;62,6
2015;02010103;02;01;01;03;1;13656;14601;5887;10086;43,1;69,1
2015;02010104;02;01;01;04;1;4499;4834;1898;3402;42,2;70,4
2015;02020201;02;02;02;01;1;569;591;69;148;12,1;25,0
2015;02020202;02;02;02;02;1;5267;5526;1931;3209;36,7;58,1
2015;02020203;02;02;02;03;1;9660;10115;3474;5770;36,0;57,0
2015;02020204;02;02;02;04;1;11120;11607;4132;6758;37,2;58,2
2015;02020205;02;02;02;05;1;13652;14260;5542;8892;40,6;62,4
2015;02020206;02;02;02;06;1;17193;18065;6158;10705;35,8;59,3
2015;02030301;02;03;03;01;1;8391;8794;3535;5699;42,1;64,8
2015;02030302;02;03;03;02;1;11942;12566;4937;8089;41,3;64,4
2015;02030401;02;03;04;01;1;13690;14296;5037;8484;36,8;59,3
2015;02030402;02;03;04;02;1;10222;10665;3967;6442;38,8;60,4
2015;02040501;02;04;05;01;1;5025;5247;2752;3696;54,8;70,4
2015;02040502;02;04;05;02;1;6574;6804;2541;4053;38,7;59,6
2015;02040503;02;04;05;03;1;9757;10164;2796;5220;28,7;51,4
2015;02040701;02;04;07;01;1;11351;11760;4433;6927;39,1;58,9
2015;02040702;02;04;07;02;1;9711;10135;3324;5738;34,2;56,6
2015;02040703;02;04;07;03;1;930;993;70;234;7,5;23,6
2015;02050601;02;05;06;01;1;8074;8350;1984;3939;24,6;47,2
2015;02050602;02;05;06;02;1;18290;19155;4527;8925;24,8;46,6
2015;02050801;02;05;08;01;1;17184;17867;4094;8405;23,8;47,0
2015;02050802;02;05;08;02;1;18164;18869;4208;8603;23,2;45,6
2015;02050803;02;05;08;03;1;6117;6342;1704;3173;27,9;50,0
2015;02050804;02;05;08;04;1;3229;3443;842;1686;26,1;49,0
2015;03010101;03;01;01;01;2;3268;3435;1202;1666;36,8;48,5
2015;03010102;03;01;01;02;2;10503;11079;3932;5971;37,4;53,9
2015;03010104;03;01;01;04;2;189;196;73;115;38,6;58,7
2015;03020203;03;02;02;03;2;1875;1987;748;925;39,9;46,6
2015;03020209;03;02;02;09;2;12777;13584;4767;8161;37,3;60,1
2015;03020210;03;02;02;10;2;9445;10002;3759;5947;39,8;59,5
2015;03020307;03;02;03;07;2;15613;16570;6613;10778;42,4;65,0
2015;03030405;03;03;04;05;2;9315;9944;3265;6161;35,1;62,0
2015;03030406;03;03;04;06;2;7448;7813;4871;6200;65,4;79,4
2015;03030711;03;03;07;11;2;6184;6500;3421;4401;55,3;67,7
2015;03030715;03;03;07;15;2;6192;6479;3445;4589;55,6;70,8
2015;03030716;03;03;07;16;2;1070;1118;752;888;70,3;79,4
2015;03040508;03;04;05;08;2;4103;4362;1915;3059;46,7;70,1
2015;03040512;03;04;05;12;2;8753;9208;4248;6123;48,5;66,5
2015;03040513;03;04;05;13;2;3007;3238;1408;2139;46,8;66,1
2015;03040614;03;04;06;14;2;30619;32763;11837;19761;38,7;60,3
2015;03040818;03;04;08;18;2;30421;31988;12084;19348;39,7;60,5
2015;03050919;03;05;09;19;2;5040;5263;2025;3216;40,2;61,1
2015;03050920;03;05;09;20;2;6461;6850;2303;3913;35,6;57,1
2015;03050923;03;05;09;23;2;7932;8329;2238;4205;28,2;50,5
2015;03050924;03;05;09;24;2;5025;5347;1538;3032;30,6;56,7
2015;03050925;03;05;09;25;2;7888;8444;2686;4763;34,1;56,4
2015;03051017;03;05;10;17;2;3818;3973;1354;2395;35,5;60,3
2015;03051021;03;05;10;21;2;6017;6252;2742;4184;45,6;66,9
2015;03051022;03;05;10;22;2;4086;4284;1980;2898;48,5;67,6
2015;03061126;03;06;11;26;1;13418;14106;3912;7243;29,2;51,3
2015;03061131;03;06;11;31;1;9019;9527;2520;4774;27,9;50,1
2015;03061227;03;06;12;27;1;13072;13676;4197;7422;32,1;54,3
2015;03061228;03;06;12;28;1;11593;11932;4426;6864;38,2;57,5
2015;03061332;03;06;13;32;1;19488;20721;5576;10760;28,6;51,9
2015;03061429;03;06;14;29;1;9395;9698;5298;7067;56,4;72,9
2015;03061430;03;06;14;30;1;3032;3191;1507;1921;49,7;60,2
2015;03061434;03;06;14;34;1;5483;5745;1602;3069;29,2;53,4
2015;03061435;03;06;14;35;1;3558;3709;1268;2149;35,6;57,9
2015;03061441;03;06;14;41;1;1890;2170;162;888;8,6;40,9
2015;03071536;03;07;15;36;1;9289;9906;2721;5148;29,3;52,0
2015;03071537;03;07;15;37;1;13193;13977;4292;7521;32,5;53,8
2015;03071633;03;07;16;33;1;2601;2708;1264;1717;48,6;63,4
2015;03071638;03;07;16;38;1;14933;15894;4484;8525;30,0;53,6
2015;03071639;03;07;16;39;1;10691;11533;3685;6592;34,5;57,2
2015;04010101;04;01;01;01;2;9671;10135;4171;6524;43,1;64,4
