ZEIT;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;EINW10;EINW5;Dau10;Dau5;PDAU10;PDAU5
201712;01011101;01;01;11;01;1;3021;3101;1112;1701;36,8;54,9
201712;01011102;01;01;11;02;1;173;182;52;96;30,1;52,7
201712;01011103;01;01;11;03;1;4766;4957;1826;2754;38,3;55,6
201712;01011104;01;01;11;04;1;4301;4540;1294;2338;30,1;51,5
201712;01011105;01;01;11;05;1;1113;1164;258;560;23,2;48,1
201712;01011201;01;01;12;01;1;2155;2232;978;1367;45,4;61,2
201712;01011202;01;01;12;02;1;563;587;157;243;27,9;41,4
201712;01011203;01;01;12;03;1;1001;1040;306;496;30,6;47,7
201712;01011204;01;01;12;04;1;7279;7498;2512;3718;34,5;49,6
201712;01011301;01;01;13;01;1;6097;6383;1390;2752;22,8;43,1
201712;01011302;01;01;13;02;1;11531;12091;4339;6971;37,6;57,7
201712;01011303;01;01;13;03;1;9231;9519;3216;5002;34,8;52,5
201712;01011304;01;01;13;04;1;7970;8289;4112;5762;51,6;69,5
201712;01011305;01;01;13;05;1;7275;7504;2937;4260;40,4;56,8
201712;01011306;01;01;13;06;1;9460;9798;3377;5104;35,7;52,1
201712;01011401;01;01;14;01;1;15488;16347;4318;8100;27,9;49,6
201712;01011402;01;01;14;02;1;11939;12636;3283;6526;27,5;51,6
201712;01022101;01;02;21;01;1;3313;3452;969;1718;29,2;49,8
201712;01022102;01;02;21;02;1;5964;6215;1821;3277;30,5;52,7
201712;01022103;01;02;21;03;1;216;234;71;127;32,9;54,3
201712;01022104;01;02;21;04;1;17293;17970;6147;10229;35,5;56,9
201712;01022105;01;02;21;05;1;4884;5091;1720;2789;35,2;54,8
201712;01022106;01;02;21;06;1;10608;11000;4578;7040;43,2;64,0
201712;01022201;01;02;22;01;1;10011;10435;3398;5741;33,9;55,0
201712;01022202;01;02;22;02;1;1441;1540;635;985;44,1;64,0
201712;01022203;01;02;22;03;1;6326;6733;2517;4171;39,8;61,9
201712;01022204;01;02;22;04;1;5528;5731;2273;3420;41,1;59,7
201712;01022205;01;02;22;05;1;2939;3117;1223;1956;41,6;62,8
201712;01022206;01;02;22;06;1;2775;2879;1198;1874;43,2;65,1
201712;01022207;01;02;22;07;1;5405;5547;2282;3265;42,2;58,9
201712;01033101;01;03;31;01;1;23642;25102;7605;14181;32,2;56,5
201712;01033102;01;03;31;02;1;10802;11432;3858;6548;35,7;57,3
201712;01033201;01;03;32;01;1;11718;12595;5151;8687;44,0;69,0
201712;01033202;01;03;32;02;1;8717;9245;3884;6475;44,6;70,0
201712;01033203;01;03;32;03;1;12875;13611;4503;7872;35,0;57,8
201712;01044101;01;04;41;01;1;19137;19939;7397;11987;38,7;60,1
201712;01044102;01;04;41;02;1;15040;15642;6118;9724;40,7;62,2
201712;01044103;01;04;41;03;1;7964;8268;2626;4518;33,0;54,6
201712;01044201;01;04;42;01;1;21729;22953;7399;13091;34,1;57,0
201712;01044202;01;04;42;02;1;15502;16114;4595;8563;29,6;53,1
201712;01044203;01;04;42;03;1;15151;15848;4768;8929;31,5;56,3
201712;02010101;02;01;01;01;1;5996;6297;2016;3306;33,6;52,5
