Zeit;RAUMID;BEZ;PGR;BZR;PLR;STADTRAUM;EINW10;EINW5;Dau10;Dau5;PDAU10;PDAU5
2020;01011101;01;01;11;01;1;3189;3287;1130;1838;35,4;55,9
2020;01011102;01;01;11;02;1;186;186;77;118;41,4;63,4
2020;01011103;01;01;11;03;1;4804;4975;1833;2860;38,2;57,5
2020;01011104;01;01;11;04;1;4196;4423;1509;2611;36,0;59,0
2020;01011105;01;01;11;05;1;1448;1530;275;571;19,0;37,3
2020;01011201;01;01;12;01;1;2402;2486;1023;1403;42,6;56,4
2020;01011202;01;01;12;02;1;588;607;171;310;29,1;51,1
2020;01011203;01;01;12;03;1;1053;1104;344;559;32,7;50,6
2020;01011204;01;01;12;04;1;7619;7910;2648;4288;34,8;54,2
2020;01011301;01;01;13;01;1;6310;6582;1604;3325;25,4;50,5
2020;01011302;01;01;13;02;1;11251;11754;4877;7445;43,3;63,3
2020;01011303;01;01;13;03;1;9178;9492;3550;5417;38,7;57,1
2020;01011304;01;01;13;04;1;8204;8595;4340;5774;52,9;67,2
2020;01011305;01;01;13;05;1;8624;8955;3123;4878;36,2;54,5
2020;01011306;01;01;13;06;1;9849;10233;3519;5704;35,7;55,7
2020;01011401;01;01;14;01;1;15899;16743;5143;8857;32,3;52,9
2020;01011402;01;01;14;02;1;11968;12652;4053;7289;33,9;57,6
2020;01022101;01;02;21;01;1;3141;3274;1097;1843;34,9;56,3
2020;01022102;01;02;21;02;1;6296;6552;2017;3356;32,0;51,2
2020;01022103;01;02;21;03;1;242;260;79;156;32,6;60,0
2020;01022104;01;02;21;04;1;17073;17735;6861;10544;40,2;59,5
2020;01022105;01;02;21;05;1;4767;4982;1910;2979;40,1;59,8
2020;01022106;01;02;21;06;1;10458;10860;5183;7409;49,6;68,2
2020;01022201;01;02;22;01;1;9818;10285;3860;6095;39,3;59,3
2020;01022202;01;02;22;02;1;4583;4804;756;1091;16,5;22,7
2020;01022203;01;02;22;03;1;6281;6615;2994;4456;47,7;67,4
2020;01022204;01;02;22;04;1;5432;5667;2354;3581;43,3;63,2
2020;01022205;01;02;22;05;1;2848;3059;1304;2083;45,8;68,1
2020;01022206;01;02;22;06;1;2909;3015;1332;1920;45,8;63,7
2020;01022207;01;02;22;07;1;5501;5641;2346;3417;42,6;60,6
2020;01033101;01;03;31;01;1;23324;24807;9375;15418;40,2;62,2
2020;01033102;01;03;31;02;1;10443;11071;4543;7139;43,5;64,5
2020;01033201;01;03;32;01;1;12340;13275;6247;8950;50,6;67,4
2020;01033202;01;03;32;02;1;9326;9876;4572;6701;49,0;67,9
2020;01033203;01;03;32;03;1;13153;13899;5275;8445;40,1;60,8
2020;01044101;01;04;41;01;1;18788;19584;8351;12495;44,4;63,8
2020;01044102;01;04;41;02;1;14993;15662;6516;10314;43,5;65,9
2020;01044103;01;04;41;03;1;7941;8239;3110;4668;39,2;56,7
2020;01044201;01;04;42;01;1;21275;22408;8781;14102;41,3;62,9
2020;01044202;01;04;42;02;1;15257;15879;5452;8896;35,7;56,0
