vintage,year_built_bucket,size_bucket,wohnlage,rent_low,rent_mid,rent_high,source
2017,pre_1918,under_40,einfach,5.44,7.45,10.00,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,under_40,mittel,5.25,8.01,10.11,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,under_40,gut,6.91,8.31,12.52,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,40_to_60,einfach,4.81,6.51,9.22,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,40_to_60,mittel,5.11,6.61,10.06,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,40_to_60,gut,5.81,7.03,8.75,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,60_to_90,einfach,4.40,6.00,8.62,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,60_to_90,mittel,4.75,6.78,10.27,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,60_to_90,gut,5.81,7.32,10.00,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,90_plus,einfach,4.22,5.72,8.41,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,90_plus,mittel,4.38,6.39,10.18,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,pre_1918,90_plus,gut,5.44,7.25,10.00,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,under_40,einfach,5.60,6.45,7.17,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,under_40,mittel,6.82,7.37,8.40,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,under_40,gut,6.04,7.04,10.00,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,40_to_60,einfach,5.30,5.93,8.09,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,40_to_60,mittel,5.52,6.34,7.65,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,40_to_60,gut,5.71,6.88,8.88,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,60_to_90,einfach,4.90,5.65,7.56,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,60_to_90,mittel,5.18,6.09,7.62,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,60_to_90,gut,5.52,7.10,9.20,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,90_plus,einfach,4.29,5.80,7.51,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
2017,1919_1949,90_plus,mittel,4.97,5.63,7.10,Berliner Mietspiegeltabelle 2017; Senatsverwaltung fuer Stadtentwicklung und Wohnen Berlin; Stichtag 01.09.2016; mit SH/Bad/IWC
