dominance_group,group_description,child_grain,poi_domain_h,poi_category_h,poi_type_h,child_label,is_public_safe
gastronomy_category,"Gastronomy category-level offering monoculture (Cafe/Restaurant/Fast Food) -- OA-D0 domain sign-off Condition A.1",category,Gastronomy,Cafe,,Cafe,true
gastronomy_category,"Gastronomy category-level offering monoculture (Cafe/Restaurant/Fast Food) -- OA-D0 domain sign-off Condition A.1",category,Gastronomy,Restaurant,,Restaurant,true
gastronomy_category,"Gastronomy category-level offering monoculture (Cafe/Restaurant/Fast Food) -- OA-D0 domain sign-off Condition A.1",category,Gastronomy,Fast Food,,Fast Food,true
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,Asian Restaurant,Asian Restaurant,false
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,Beer Garden,Beer Garden,false
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,German Restaurant,German Restaurant,false
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,Greek Restaurant,Greek Restaurant,false
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,Indian Restaurant,Indian Restaurant,false
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,International Restaurant,International Restaurant,false
gastronomy_restaurant_cuisine,"INTERNAL-STUDY-ONLY: cuisine-typed Restaurant dominance -- OA-D0 domain sign-off Condition B.3 anti-stigma clause bars this from any public displacement-adjacent surface",type,Gastronomy,Restaurant,Italian Restaurant,Italian Restaurant,false
