level,thesis_oa_suffix,domain_h,category_h,type_h,note
category,dl_c_beerdigung_stock,Services,Funeral,,
category,dl_c_friseur_stock,Services,Hairdresser,,
category,dl_c_kosmetik_und_beauty_stock,Services,Beauty,,
category,dl_c_massage_stock,Services,Massage,,
category,dl_c_reisen_stock,Services,Travel,,
category,dl_c_waescherei_stock,Services,Laundry,,
category,gastro_c_cafe_stock,Gastronomy,Cafe,,
category,gastro_c_fast_food_stock,Gastronomy,Fast Food,,
category,gastro_c_restaurant_stock,Gastronomy,Restaurant,,
category,pubserv_c_bank_stock,Public Service,Bank,,
category,pubserv_c_bildung_stock,Public Service,Education,,
category,pubserv_c_gesundheit_stock,Public Service,Health,,
category,pubserv_c_sicherheit_stock,Public Service,Safety,,
category,pubserv_c_sonstiges_stock,Public Service,Other,,
category,pubserv_c_sozial_stock,Public Service,Social,,
category,waren_c_drogerie_stock,Retail,Drugstore,,
category,waren_c_essen_und_trinken_stock,Retail,Food and Drink,,
category,waren_c_handwerk_stock,Retail,Hardware,,"thesis 'Handwerk' (craft trades) mapped to our Hardware category; 'Werkstatt' mapped to Workshop -- translation pairing, not a literal cognate"
category,waren_c_kleidung_stock,Retail,Clothing,,
category,waren_c_kunst_stock,Retail,Art,,
category,waren_c_medical_stock,Retail,Medical,,
category,waren_c_print_stock,Retail,Print,,
category,waren_c_sonstige_waren_stock,Retail,Other Goods,,
category,waren_c_sonstiger_shop_stock,Retail,Other Shop,,
category,waren_c_spielzeug_und_geschenke_stock,Retail,Toys and Gifts,,
category,waren_c_technik_stock,Retail,Tech,,
category,waren_c_werkstatt_stock,Retail,Workshop,,"thesis 'Handwerk' (craft trades) mapped to our Hardware category; 'Werkstatt' mapped to Workshop -- translation pairing, not a literal cognate"
domain,total_d_buero_stock,Office,,,
domain,total_d_dienstleistung_stock,Services,,,
domain,total_d_gastronomie_stock,Gastronomy,,,
domain,total_d_leerstand_stock,Vacancy,,,
domain,total_d_mobilitaet_stock,Mobility,,,
domain,total_d_oeffentlicher_raum_stock,Public Space,,,
domain,total_d_public_service_stock,Public Service,,,
domain,total_d_religion_stock,Religion,,,
domain,total_d_sonstiges_stock,Other,,,
domain,total_d_sport_und_erholung_stock,Sports and Recreation,,,
domain,total_d_tourismus_stock,Tourism,,,
domain,total_d_vergnuegung_stock,Entertainment,,,
domain,total_d_waren_stock,Retail,,,
type,gastro_t_eisdiele_stock,Gastronomy,Cafe,Ice Cream Shop,
type,gastro_t_fast_food_sonstiges_stock,Gastronomy,Fast Food,Other Fast Food,
type,gastro_t_fastfood_asiatisch_stock,Gastronomy,Fast Food,Asian Fast Food,
type,gastro_t_fastfood_burger_stock,Gastronomy,Fast Food,Burger Fast Food,
type,gastro_t_fastfood_kebap_stock,Gastronomy,Fast Food,Kebab Fast Food,
type,gastro_t_fastfood_pizza_stock,Gastronomy,Fast Food,Pizza Fast Food,
type,gastro_t_fastfood_pommesbude_stock,Gastronomy,Fast Food,Fries Fast Food,
type,gastro_t_kaffee_stock,Gastronomy,Cafe,Coffee,
type,gastro_t_restaurant_asiatisch_stock,Gastronomy,Restaurant,Asian Restaurant,
type,gastro_t_restaurant_deutsch_stock,Gastronomy,Restaurant,German Restaurant,
type,gastro_t_restaurant_griechisch_stock,Gastronomy,Restaurant,Greek Restaurant,
type,gastro_t_restaurant_indisch_stock,Gastronomy,Restaurant,Indian Restaurant,
type,gastro_t_restaurant_international_stock,Gastronomy,Restaurant,International Restaurant,
type,gastro_t_restaurant_italiener_stock,Gastronomy,Restaurant,Italian Restaurant,
